averageCqiDl:vector,servingRSRP:vector,servingRSRQ:vector,servingSINR:vector
6.0,-76.758326707796,-98.976814203964,20.741673292204
6.0,-76.758326707796,-98.976814203964,20.741673292204
6.0,-76.758326707796,-98.976814203964,20.741673292204
6.0,-76.758326707796,-98.976814203964,20.741673292204
6.0,-73.557639699313,-95.776127195482,23.942360300687
6.0,-76.759890803854,-98.978378300022,20.740109196146
6.0,-76.759890803854,-98.978378300022,20.740109196146
6.0,-76.759890803854,-98.978378300022,20.740109196146
6.0,-76.759890803854,-98.978378300022,20.740109196146
6.0,-78.376295094929,-100.5947825911,19.123704905071
6.0,-76.762580302739,-98.981067798907,20.737419697261
6.0,-76.762580302739,-98.981067798907,20.737419697261
6.0,-76.762580302739,-98.981067798907,20.737419697261
6.0,-76.762580302739,-98.981067798907,20.737419697261
6.0,-73.554263495168,-95.772750991336,23.945736504832
6.0,-76.76639402023,-98.984881516398,20.73360597977
6.0,-76.76639402023,-98.984881516398,20.73360597977
6.0,-76.76639402023,-98.984881516398,20.73360597977
6.0,-76.76639402023,-98.984881516398,20.73360597977
6.0,-74.190982704115,-96.409470200283,23.309017295885
6.0,-76.77133027876,-98.989817774928,20.72866972124
6.0,-76.77133027876,-98.989817774928,20.72866972124
6.0,-76.77133027876,-98.989817774928,20.72866972124
6.0,-76.77133027876,-98.989817774928,20.72866972124
6.0,-75.712959968695,-97.931447464864,21.787040031305
6.0,-76.777386909872,-98.99587440604,20.722613090128
6.0,-76.777386909872,-98.99587440604,20.722613090128
6.0,-76.777386909872,-98.99587440604,20.722613090128
6.0,-76.777386909872,-98.99587440604,20.722613090128
6.0,-72.061037746582,-94.27952524275,25.438962253418
6.0,-76.784561257385,-99.003048753554,20.715438742615
6.0,-76.784561257385,-99.003048753554,20.715438742615
6.0,-76.784561257385,-99.003048753554,20.715438742615
6.0,-76.784561257385,-99.003048753554,20.715438742615
6.0,-71.650721588839,-93.869209085007,25.849278411161
6.0,-76.792850181271,-99.011337677439,20.707149818729
6.0,-76.792850181271,-99.011337677439,20.707149818729
6.0,-76.792850181271,-99.011337677439,20.707149818729
6.0,-76.792850181271,-99.011337677439,20.707149818729
12.0,-62.857228562152,-85.07571605832,34.642771437848
12.0,-62.857228562152,-85.07571605832,34.642771437848
12.0,-62.857228562152,-85.07571605832,34.642771437848
12.0,-62.857228562152,-85.07571605832,34.642771437848
12.0,-62.857228562152,-85.07571605832,34.642771437848
12.0,-57.326908631213,-79.545396127381,40.173091368787
12.0,-62.867735306768,-85.086222802936,34.632264693232
12.0,-62.867735306768,-85.086222802936,34.632264693232
12.0,-62.867735306768,-85.086222802936,34.632264693232
12.0,-62.867735306768,-85.086222802936,34.632264693232
12.0,-59.03406047243,-81.252547968598,38.46593952757
12.0,-62.879344353538,-85.097831849706,34.620655646462
12.0,-62.879344353538,-85.097831849706,34.620655646462
12.0,-62.879344353538,-85.097831849706,34.620655646462
12.0,-62.879344353538,-85.097831849706,34.620655646462
12.0,-56.188001100408,-78.406488596577,41.311998899592
12.0,-62.892050679326,-85.110538175495,34.607949320674
12.0,-62.892050679326,-85.110538175495,34.607949320674
12.0,-62.892050679326,-85.110538175495,34.607949320674
12.0,-62.892050679326,-85.110538175495,34.607949320674
12.0,-60.481644178274,-82.700131674442,37.018355821727
12.0,-62.905848806555,-85.124336302723,34.594151193445
12.0,-62.905848806555,-85.124336302723,34.594151193445
12.0,-62.905848806555,-85.124336302723,34.594151193445
12.0,-62.905848806555,-85.124336302723,34.594151193445
12.0,-59.003933947331,-81.2224214435,38.496066052669
12.0,-62.920732810967,-85.139220307135,34.579267189033
12.0,-62.920732810967,-85.139220307135,34.579267189033
12.0,-62.920732810967,-85.139220307135,34.579267189033
12.0,-62.920732810967,-85.139220307135,34.579267189033
12.0,-61.803566079647,-84.022053575815,35.696433920353
12.0,-62.936696329978,-85.155183826147,34.563303670022
12.0,-62.936696329978,-85.155183826147,34.563303670022
12.0,-62.936696329978,-85.155183826147,34.563303670022
12.0,-62.936696329978,-85.155183826147,34.563303670022
12.0,-61.044429856754,-83.262917352922,36.455570143246
12.0,-62.953732571582,-85.17222006775,34.546267428418
12.0,-62.953732571582,-85.17222006775,34.546267428418
12.0,-62.953732571582,-85.17222006775,34.546267428418
12.0,-62.953732571582,-85.17222006775,34.546267428418
12.0,-59.690125242879,-81.908612739047,37.809874757121
12.0,-62.971834323776,-85.190321819944,34.528165676224
12.0,-62.971834323776,-85.190321819944,34.528165676224
12.0,-62.971834323776,-85.190321819944,34.528165676224
12.0,-62.971834323776,-85.190321819944,34.528165676224
